0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.905496508584217,0.788784345975232,0.95,0.979847146859595,0.944444444444444,0.711889944776161,0.968291073887104
2,Accuracy,0.989066059225512,0.99498861047836,0.999544419134396,0.997722095671982,0.999088838268793,0.990888382687927,0.998633257403189
3,Error Rate,0.010933940774488,0.00501138952164,0.000455580865604,0.002277904328018,0.000911161731207,0.009111617312073,0.001366742596811
4,Precision,0.989021479713604,0.785714285714286,1,0.862068965517241,1,0.933333333333333,0.882352941176471
5,Recall,0.999517607332368,0.578947368421053,0.9,0.961538461538462,0.888888888888889,0.424242424242424,0.9375
6,Specificity,0.811475409836066,0.998621323529412,1,0.998155832180728,1,0.999537465309898,0.999082147774208
7,F1,0.994241842610365,0.666666666666667,0.947368421052632,0.909090909090909,0.941176470588235,0.583333333333333,0.909090909090909
8,TP,2072,11,9,25,16,14,15
9,FP,23,3,0,4,0,1,2
10,FN,1,8,1,1,2,19,1
11,TN,99,2173,2185,2165,2177,2161,2177
12,Micro F1,0.989066059225512,0.99498861047836,0.999544419134396,0.997722095671982,0.999088838268793,0.990888382687927,0.998633257403189
13,Macro F1,0.943066867251128,0.832070996863285,0.973569820226613,0.953968753276712,0.970358666882731,0.789363580531245,0.954201180962714
14,Weighted F1,0.988553143754942,0.994611835238732,0.99953248227828,0.997783432133284,0.999062248568297,0.989198840797466,0.998653808779896
15,Log-Loss,0.377653313994876,0.173088354959595,0.015735205646885,0.078677485359579,0.031470411293769,0.314704477218973,0.047206345503232
16,ROC AUC,0.905496508584217,0.788784345975232,0.95,0.979847146859595,0.944444444444444,0.711889944776161,0.968291073887104
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.939013444905359,0.863636363636364,0.833105750265514,0.952479338842975,0.972222222222222,0.81382382052128,0.888888888888889
2,Accuracy,0.993636363636364,0.998636363636363,0.999090909090909,0.995,0.999545454545454,0.993181818181818,0.998181818181818
3,Error Rate,0.006363636363636,0.001363636363636,0.000909090909091,0.005,0.000454545454545,0.006818181818182,0.001818181818182
4,Precision,0.993824228028504,1,0.666666666666667,0.689655172413793,1,0.916666666666667,1
5,Recall,0.999522216913521,0.727272727272727,0.666666666666667,0.909090909090909,0.944444444444444,0.628571428571429,0.777777777777778
6,Specificity,0.878504672897196,1,0.99954483386436,0.995867768595041,1,0.999076212471132,1
7,F1,0.996665078608861,0.842105263157895,0.666666666666667,0.784313725490196,0.971428571428571,0.745762711864407,0.875
8,TP,2092,8,2,20,17,22,14
9,FP,13,0,1,9,0,2,0
10,FN,1,3,1,2,1,13,4
11,TN,94,2189,2196,2169,2182,2163,2182
12,Micro F1,0.993636363636364,0.998636363636363,0.999090909090909,0.995,0.999545454545454,0.993181818181818,0.998181818181818
13,Macro F1,0.963679073957896,0.920710243996204,0.833105750265514,0.890892204202904,0.985599738177058,0.871153643423565,0.937042124542124
14,Weighted F1,0.993456439974631,0.99852917502613,0.999090909090909,0.995339113341359,0.999539013106023,0.992554863524022,0.998069014319014
15,Log-Loss,0.219796938316066,0.047098331447607,0.031399251085115,0.172697153054951,0.01569944381587,0.235492384144783,0.062797775263475
16,ROC AUC,0.939013444905359,0.863636363636364,0.833105750265514,0.952479338842975,0.972222222222222,0.81382382052128,0.888888888888889
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.887687607024141,0.764705882352941,0.888888888888889,0.952148286024508,0.999767549976755,0.803030303030303,0.941176470588235
2,Accuracy,0.987557603686636,0.996313364055299,0.999078341013825,0.998617511520737,0.999539170506912,0.994009216589862,0.999078341013825
3,Error Rate,0.012442396313364,0.0036866359447,0.000921658986175,0.001382488479263,0.000460829493088,0.005990783410138,0.000921658986175
4,Precision,0.987493987493988,1,1,0.95,0.95,1,1
5,Recall,0.999513145082765,0.529411764705882,0.777777777777778,0.904761904761905,1,0.606060606060606,0.882352941176471
6,Specificity,0.775862068965517,1,1,0.99953466728711,0.99953509995351,1,1
7,F1,0.993467215097992,0.692307692307692,0.875,0.926829268292683,0.974358974358974,0.754716981132076,0.9375
8,TP,2053,9,7,19,19,20,15
9,FP,26,0,0,1,1,0,0
10,FN,1,8,2,2,0,13,2
11,TN,90,2153,2161,2148,2150,2137,2153
12,Micro F1,0.987557603686636,0.996313364055299,0.999078341013825,0.998617511520737,0.999539170506912,0.994009216589862,0.999078341013825
13,Macro F1,0.931516216244648,0.845226632431083,0.937268732654949,0.963065715793236,0.987063235145076,0.875842278762912,0.968517873723306
14,Weighted F1,0.98684388250169,0.995749607594015,0.999020950476816,0.998600812697004,0.999545025004971,0.993283581166267,0.999049753111776
15,Log-Loss,0.429754724514182,0.127331894543451,0.031832973635863,0.047749828931873,0.015916855296011,0.206914328633106,0.031832973635863
16,ROC AUC,0.887687607024141,0.764705882352941,0.888888888888889,0.952148286024508,0.999767549976755,0.803030303030303,0.941176470588235
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.969565217391304,0.730769230769231,0.928571428571429,0.957899305555556,0.977272727272727,0.968825510001981,0.968533737024222
2,Accuracy,0.996993127147766,0.996993127147766,0.999570446735395,0.998281786941581,0.999570446735395,0.997422680412371,0.99914089347079
3,Error Rate,0.003006872852234,0.003006872852234,0.000429553264605,0.001718213058419,0.000429553264605,0.002577319587629,0.00085910652921
4,Precision,0.996846846846847,1,1,0.916666666666667,1,0.885714285714286,0.9375
5,Recall,1,0.461538461538462,0.857142857142857,0.916666666666667,0.954545454545455,0.939393939393939,0.9375
6,Specificity,0.939130434782609,1,1,0.999131944444444,1,0.998257080610022,0.999567474048443
7,F1,0.998420933904805,0.631578947368421,0.923076923076923,0.916666666666667,0.976744186046512,0.911764705882353,0.9375
8,TP,2213,6,6,22,21,31,15
9,FP,7,0,0,2,0,4,1
10,FN,0,7,1,2,1,2,1
11,TN,108,2315,2321,2302,2306,2291,2311
12,Micro F1,0.996993127147766,0.996993127147766,0.999570446735395,0.998281786941581,0.999570446735395,0.997422680412371,0.99914089347079
13,Macro F1,0.983515399687828,0.815034675323201,0.961430772544277,0.957899305555556,0.988263703688766,0.955228473255039,0.968533737024222
14,Weighted F1,0.996948308101581,0.996441499099792,0.999553971714146,0.998281786941581,0.999565498488985,0.997460020418705,0.99914089347079
15,Log-Loss,0.103856113379033,0.103853709091227,0.014836244155891,0.059345663562932,0.014836244155891,0.089018838814084,0.029672831781467
16,ROC AUC,0.969565217391304,0.730769230769231,0.928571428571429,0.957899305555556,0.977272727272727,0.968825510001981,0.968533737024221
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.949822354087987,0.93286582515194,1,0.840205526181136,0.954545454545455,0.956052475873748,0.966666666666667
2,Accuracy,0.994428969359331,0.998142989786444,1,0.99535747446611,0.999535747446611,0.998142989786444,0.999535747446611
3,Error Rate,0.005571030640669,0.001857010213556,0,0.00464252553389,0.000464252553389,0.001857010213556,0.000464252553389
4,Precision,0.995650072498792,0.866666666666667,1,0.833333333333333,1,0.91304347826087,1
5,Recall,0.998545807077072,0.866666666666667,1,0.681818181818182,0.909090909090909,0.91304347826087,0.933333333333333
6,Specificity,0.901098901098901,0.999064983637214,1,0.99859287054409,1,0.999061473486626,1
7,F1,0.997095837366893,0.866666666666667,1,0.75,0.952380952380952,0.91304347826087,0.96551724137931
8,TP,2060,13,5,15,10,21,14
9,FP,9,2,0,3,0,2,0
10,FN,3,2,0,7,1,2,1
11,TN,82,2137,2149,2129,2143,2129,2139
12,Micro F1,0.994428969359331,0.998142989786444,1,0.99535747446611,0.999535747446611,0.998142989786444,0.999535747446611
13,Macro F1,0.964457009592537,0.93286582515194,1,0.873828491096532,0.976073844513313,0.956052475873748,0.98264177095841
14,Weighted F1,0.994338053404528,0.998142989786444,1,0.995127523693414,0.999524747960941,0.998142989786444,0.999527797340028
15,Log-Loss,0.192419922523585,0.06413960295938,9.99200722162641E-16,0.160348264968152,0.016034715132272,0.06413960295938,0.016034715132272
16,ROC AUC,0.949822354087987,0.93286582515194,1,0.840205526181136,0.954545454545455,0.956052475873748,0.966666666666667
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Balanced Accuracy,0.905496508584217,0.788784345975232,0.95,0.979847146859595,0.944444444444444,0.711889944776161,0.968291073887104
,Balanced Accuracy,0.939013444905359,0.863636363636364,0.833105750265514,0.952479338842975,0.972222222222222,0.81382382052128,0.888888888888889
,Balanced Accuracy,0.887687607024141,0.764705882352941,0.888888888888889,0.952148286024508,0.999767549976755,0.803030303030303,0.941176470588235
,Balanced Accuracy,0.969565217391304,0.730769230769231,0.928571428571429,0.957899305555556,0.977272727272727,0.968825510001981,0.968533737024222
,Balanced Accuracy,0.949822354087987,0.93286582515194,1,0.840205526181136,0.954545454545455,0.956052475873748,0.966666666666667
,,,,,,,,
,,0.930317026398602,0.816152329577142,0.920113213545166,0.936515920692754,0.969650479692321,0.850724410840695,0.946711367411023
