,CV_index,hidden_size,input_dim,learning_rate,num_directions,num_epochs,num_layers,output_dim,result_filename,test_loss,time_elapsed
,CV_index,hidden_size,input_dim,learning_rate,num_directions,num_epochs,num_layers,output_dim,result_filename,test_loss,time_elapsed
0,4,256,561,1e-05,1,100,1,7,Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_100_epochs,1.105582356452942,6.233242988586426
,CV_index,hidden_size,input_dim,learning_rate,num_directions,num_epochs,num_layers,output_dim,result_filename,test_loss,time_elapsed
0,0,256,561,0.01,1,500,1,7,Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.1349565982818604,10.82922887802124
,CV_index,hidden_size,input_dim,learning_rate,num_directions,num_epochs,num_layers,output_dim,result_filename,test_loss,time_elapsed
0,1,256,561,0.01,1,500,1,7,Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.2979178428649902,10.712538003921509
,CV_index,hidden_size,input_dim,learning_rate,num_directions,num_epochs,num_layers,output_dim,result_filename,test_loss,time_elapsed
0,2,256,561,0.01,1,500,1,7,Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.4661481380462646,10.692633152008057
,CV_index,hidden_size,input_dim,learning_rate,num_directions,num_epochs,num_layers,output_dim,result_filename,test_loss,time_elapsed
0,3,256,561,0.01,1,500,1,7,Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.2902414798736572,10.839046001434326
0,0,256,561,0.01,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_100_epochs,2.1826488971710205,9.077575922012329
0,1,256,561,0.01,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_100_epochs,2.151580572128296,6.220307111740112
0,2,256,561,0.01,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_100_epochs,2.1634697914123535,6.214262962341309
0,3,256,561,0.01,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_100_epochs,2.100475549697876,6.2061309814453125
0,4,256,561,0.01,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_100_epochs,2.1928160190582275,6.214318037033081
0,0,256,561,0.001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_100_epochs,1.7398008108139038,6.251662969589233
0,1,256,561,0.001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_100_epochs,1.786797285079956,6.230813026428223
0,2,256,561,0.001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_100_epochs,1.7893483638763428,6.245967864990234
0,3,256,561,0.001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_100_epochs,1.7609049081802368,6.244790077209473
0,4,256,561,0.001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_100_epochs,1.742827296257019,6.2508180141448975
0,0,256,561,0.0001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_100_epochs,1.25734281539917,6.242617845535278
0,1,256,561,0.0001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_100_epochs,1.271732211112976,6.230682134628296
0,2,256,561,0.0001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_100_epochs,1.267095685005188,6.232080936431885
0,3,256,561,0.0001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_100_epochs,1.2476998567581177,6.361454010009766
0,4,256,561,0.0001,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_100_epochs,1.2474212646484375,6.233556032180786
0,0,256,561,1e-05,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_100_epochs,1.1055128574371338,6.249568939208984
0,1,256,561,1e-05,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_100_epochs,1.1122139692306519,6.228666067123413
0,2,256,561,1e-05,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_100_epochs,1.1144686937332153,6.226743936538696
0,3,256,561,1e-05,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_100_epochs,1.1026262044906616,6.2563300132751465
0,4,256,561,1e-05,1,100,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_100_epochs,1.0975351333618164,6.253906965255737
0,0,256,561,0.01,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.5528299808502197,10.924278020858765
0,1,256,561,0.01,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.080488681793213,10.94067096710205
0,2,256,561,0.01,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.4001822471618652,10.758183002471924
0,3,256,561,0.01,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.2603983879089355,11.68213701248169
0,4,256,561,0.01,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.01_lr_256_units_500_epochs,2.348471164703369,10.791555166244507
0,0,256,561,0.001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_500_epochs,2.3614654541015625,10.77035403251648
0,1,256,561,0.001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_500_epochs,2.3755195140838623,10.74900197982788
0,2,256,561,0.001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_500_epochs,2.3708269596099854,10.833064794540405
0,3,256,561,0.001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_500_epochs,2.238572359085083,10.81543493270874
0,4,256,561,0.001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.001_lr_256_units_500_epochs,2.270732879638672,10.88506007194519
0,0,256,561,0.0001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_500_epochs,1.5851715803146362,10.896281957626343
0,1,256,561,0.0001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_500_epochs,1.6107176542282104,10.783766984939575
0,2,256,561,0.0001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_500_epochs,1.6121793985366821,10.677282094955444
0,3,256,561,0.0001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_500_epochs,1.5754555463790894,10.874388933181763
0,4,256,561,0.0001,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_0.0001_lr_256_units_500_epochs,1.5820242166519165,10.806924819946289
0,0,256,561,1e-05,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_500_epochs,1.169889211654663,10.796910047531128
0,1,256,561,1e-05,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_500_epochs,1.1834759712219238,10.71606993675232
0,2,256,561,1e-05,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_500_epochs,1.1863418817520142,10.656486988067627
0,3,256,561,1e-05,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_500_epochs,1.1664944887161255,10.709591150283813
0,4,256,561,1e-05,1,500,1,7,results/tune_inverse/Inverse_Transition_classification_results_BiGRU_1_directions_1_layers_1e-05_lr_256_units_500_epochs,1.1680861711502075,10.752081155776978
