0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9695620680288535,0.8333333333333333,0.875,0.888640873015873,0.96617137196632,0.9987555998008959,1.0
2,Accuracy,0.995575221238938,0.9985250737463127,0.9995083579154376,0.9975417895771878,0.9985250737463127,0.9975417895771878,1.0
3,Error Rate,0.004424778761061954,0.001474926253687281,0.000491642084562427,0.002458210422812246,0.001474926253687281,0.002458210422812246,0.0
4,Precision,0.9974358974358974,1.0,1.0,0.9333333333333333,0.875,0.8333333333333334,1.0
5,Recall,0.9979476654694716,0.6666666666666666,0.75,0.7777777777777778,0.9333333333333333,1.0,1.0
6,Specificity,0.9411764705882353,1.0,1.0,0.9995039682539683,0.9990094105993066,0.9975111996017919,1.0
7,F1,0.9976917158245705,0.8,0.8571428571428571,0.8484848484848485,0.9032258064516129,0.9090909090909091,1.0
8,TP,1945.0,6.0,3.0,14.0,14.0,25.0,14.0
9,FP,5.0,0.0,0.0,1.0,2.0,5.0,0.0
10,FN,4.0,3.0,1.0,4.0,1.0,0.0,0.0
11,TN,80.0,2025.0,2030.0,2015.0,2017.0,2004.0,2020.0
12,Micro F1,0.995575221238938,0.9985250737463127,0.9995083579154376,0.9975417895771878,0.9985250737463127,0.9975417895771878,1.0
13,Macro F1,0.9722186389773739,0.8996299037749815,0.9284483061877793,0.923622845555931,0.9512413401839437,0.9539224792152776,1.0
14,Weighted F1,0.9955626976023367,0.9983781269855827,0.9994733011558286,0.9974309665726582,0.9985486802034081,0.9976519950101386,1.0
15,Log-Loss,0.15282840980400644,0.050942148075090496,0.016980716025030825,0.08490397324089756,0.05094293430658527,0.08490554570388713,9.992007221626413e-16
16,ROC AUC,0.9695620680288534,0.8333333333333333,0.875,0.888640873015873,0.96617137196632,0.9987555998008959,1.0
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.952119961406518,0.9995454545454545,1.0,0.9031618472768108,1.0,0.8951496505621391,0.8611111111111112
2,Accuracy,0.9941388638412985,0.9990982867448152,1.0,0.9963931469792606,1.0,0.9963931469792606,0.9977457168620378
3,Error Rate,0.005861136158701541,0.0009017132551848439,0.0,0.0036068530207393756,0.0,0.0036068530207393756,0.0022542831379621653
4,Precision,0.9952807928268051,0.9,1.0,0.875,1.0,0.8636363636363636,1.0
5,Recall,0.9985795454545454,1.0,1.0,0.8076923076923077,1.0,0.7916666666666666,0.7222222222222222
6,Specificity,0.9056603773584906,0.9990909090909091,1.0,0.9986313868613139,1.0,0.9986326344576116,1.0
7,F1,0.996927440321437,0.9473684210526316,1.0,0.8400000000000001,1.0,0.8260869565217391,0.8387096774193548
