0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
5,Recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Specificity,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,F1,0.9763598806518246,0.0,0.0,0.0,0.0,0.0,0.0
8,TP,2127.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FP,103.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FN,0.0,16.0,8.0,22.0,15.0,28.0,14.0
11,TN,0.0,2214.0,2222.0,2208.0,2215.0,2202.0,2216.0
12,Micro F1,0.9538116591928251,0.9928251121076234,0.9964125560538116,0.9901345291479821,0.9932735426008968,0.9874439461883409,0.9937219730941704
13,Macro F1,0.4881799403259123,0.4981998199819982,0.4991015274034142,0.49752140603875616,0.4983127109111361,0.49684115523465705,0.49842555105713
14,Weighted F1,0.9312634377338256,0.9892505842512502,0.9946220573007949,0.9852262462184516,0.9899216633795216,0.9812055819073676,0.9905928440740809
15,Log-Loss,1.5953257072695572,0.24781184857335123,0.12390592428667607,0.3407412917883575,0.23232360803751678,0.43367073500336384,0.21683536750168236
16,ROC AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,Accuracy,0.9579175704989153,0.9943600867678959,0.9978308026030369,0.9900216919739696,0.9934924078091106,0.9882863340563991,0.9939262472885032
3,Error Rate,0.04208242950108465,0.00563991323210411,0.002169197396963085,0.009978308026030391,0.006507592190889366,0.011713665943600904,0.006073752711496794
4,Precision,0.9579175704989153,0.0,0.0,0.0,0.0,0.0,0.0
5,Recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Specificity,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,F1,0.9785065366718368,0.0,0.0,0.0,0.0,0.0,0.0
8,TP,2208.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FP,97.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FN,0.0,13.0,5.0,23.0,15.0,27.0,14.0
11,TN,0.0,2292.0,2300.0,2282.0,2290.0,2278.0,2291.0
12,Micro F1,0.9579175704989153,0.9943600867678959,0.9978308026030369,0.9900216919739696,0.9934924078091106,0.9882863340563991,0.9939262472885032
13,Macro F1,0.4892532683359184,0.49858603437024146,0.499457111834962,0.4974929147591018,0.49836779107725787,0.49705433122408904,0.4984769364664926
14,Weighted F1,0.9373286043259937,0.9915481047953089,0.9967473815361497,0.9850575544297356,0.9902492334637054,0.9824640056646201,0.9908986216440213
15,Log-Loss,1.45350927169504,0.1947957020103432,0.07492142385013263,0.34463854971060653,0.2247642715503959,0.40457568879071176,0.20977998678036955
16,ROC AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,Accuracy,0.958997722095672,0.99498861047836,0.9977220956719818,0.9927107061503417,0.9927107061503417,0.9886104783599089,0.992255125284738
3,Error Rate,0.04100227790432798,0.005011389521640042,0.002277904328018221,0.007289293849658263,0.007289293849658263,0.011389521640091105,0.0077448747152619735
4,Precision,0.958997722095672,0.0,0.0,0.0,0.0,0.0,0.0
5,Recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Specificity,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,F1,0.9790697674418605,0.0,0.0,0.0,0.0,0.0,0.0
8,TP,2105.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FP,90.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FN,0.0,11.0,5.0,16.0,16.0,25.0,17.0
11,TN,0.0,2184.0,2190.0,2179.0,2179.0,2170.0,2178.0
12,Micro F1,0.958997722095672,0.99498861047836,0.9977220956719818,0.9927107061503417,0.9927107061503417,0.9886104783599089,0.992255125284738
13,Macro F1,0.48953488372093024,0.49874400548070336,0.4994298745724059,0.49817101051668955,0.49817101051668955,0.4971363115693012,0.49805625428767436
14,Weighted F1,0.9389256767494836,0.9924892099953132,0.9965844421991517,0.9890793912673045,0.9890793912673045,0.9829483335812153,0.9883977419941274
15,Log-Loss,1.4162012935356176,0.1730872621157265,0.07867602823442167,0.25176329035014716,0.2517632903501472,0.3933801411721044,0.26749849599703135
16,ROC AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,Accuracy,0.9490861618798956,0.9934725848563969,0.9960835509138382,0.9908616187989556,0.9912967798085291,0.9869451697127938,0.9904264577893821
3,Error Rate,0.050913838120104415,0.00652741514360311,0.003916449086161844,0.009138381201044377,0.00870322019147085,0.01305483028720622,0.009573542210617902
4,Precision,0.9490861618798956,0.0,0.0,0.0,0.0,0.0,0.0
5,Recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Specificity,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,F1,0.9738780977896853,0.0,0.0,0.0,0.0,0.0,0.0
8,TP,2181.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FP,117.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FN,0.0,15.0,9.0,21.0,20.0,30.0,22.0
11,TN,0.0,2283.0,2289.0,2277.0,2278.0,2268.0,2276.0
12,Micro F1,0.9490861618798956,0.9934725848563969,0.9960835509138382,0.9908616187989556,0.9912967798085291,0.9869451697127938,0.9904264577893821
13,Macro F1,0.48693904889484263,0.49836280288146695,0.49901896664486595,0.4977049180327869,0.49781468531468537,0.4967148488830486,0.4975951027547005
14,Weighted F1,0.924294225970106,0.99021956394986,0.9941291685379444,0.9863134015323374,0.9869641889876879,0.9804606416594902,0.9856627100693632
15,Log-Loss,1.75854238081109,0.2254489320816634,0.13526935924899844,0.31562850491432837,0.3005985761088842,0.4508978641633259,0.33065843371977255
16,ROC AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9428571428571428,0.9230769230769231,0.8125,0.8407253183556869,0.9285714285714286,0.825165297535564,0.9759602736122073
2,Accuracy,0.9945280437756497,0.9990880072959416,0.9986320109439124,0.9945280437756497,0.9986320109439124,0.9945280437756497,0.9990880072959416
3,Error Rate,0.005471956224350261,0.0009119927040583953,0.001367989056087593,0.005471956224350261,0.001367989056087593,0.005471956224350261,0.0009119927040583953
4,Precision,0.9942857142857143,1.0,1.0,0.6842105263157895,1.0,0.7894736842105263,0.9523809523809523
5,Recall,1.0,0.8461538461538461,0.625,0.6842105263157895,0.8571428571428571,0.6521739130434783,0.9523809523809523
6,Specificity,0.8857142857142857,1.0,1.0,0.9972401103955841,1.0,0.9981566820276497,0.9995395948434622
7,F1,0.9971346704871061,0.9166666666666666,0.7692307692307693,0.6842105263157895,0.923076923076923,0.7142857142857143,0.9523809523809523
8,TP,2088.0,11.0,5.0,13.0,18.0,15.0,20.0
9,FP,12.0,0.0,0.0,6.0,0.0,4.0,1.0
10,FN,0.0,2.0,3.0,6.0,3.0,8.0,1.0
