0,ACTIVITIES,2088,0,0,0,0,0,0
1,STAND_TO_SIT,13,0,0,0,0,0,0
2,SIT_TO_STAND,8,0,0,0,0,0,0
3,SIT_TO_LIE,19,0,0,0,0,0,0
4,LIE_TO_SIT,21,0,0,0,0,0,0
5,STAND_TO_LIE,23,0,0,0,0,0,0
6,LIE_TO_STAND,21,0,0,0,0,0,0
0,ACTIVITIES,2127,0,0,0,0,0,0
1,STAND_TO_SIT,16,0,0,0,0,0,0
2,SIT_TO_STAND,8,0,0,0,0,0,0
3,SIT_TO_LIE,22,0,0,0,0,0,0
4,LIE_TO_SIT,15,0,0,0,0,0,0
5,STAND_TO_LIE,28,0,0,0,0,0,0
6,LIE_TO_STAND,14,0,0,0,0,0,0
0,ACTIVITIES,2208,0,0,0,0,0,0
1,STAND_TO_SIT,13,0,0,0,0,0,0
2,SIT_TO_STAND,5,0,0,0,0,0,0
3,SIT_TO_LIE,23,0,0,0,0,0,0
4,LIE_TO_SIT,15,0,0,0,0,0,0
5,STAND_TO_LIE,27,0,0,0,0,0,0
6,LIE_TO_STAND,14,0,0,0,0,0,0
0,ACTIVITIES,2105,0,0,0,0,0,0
1,STAND_TO_SIT,11,0,0,0,0,0,0
2,SIT_TO_STAND,5,0,0,0,0,0,0
3,SIT_TO_LIE,16,0,0,0,0,0,0
4,LIE_TO_SIT,16,0,0,0,0,0,0
5,STAND_TO_LIE,25,0,0,0,0,0,0
6,LIE_TO_STAND,17,0,0,0,0,0,0
0,ACTIVITIES,2181,0,0,0,0,0,0
1,STAND_TO_SIT,15,0,0,0,0,0,0
2,SIT_TO_STAND,9,0,0,0,0,0,0
3,SIT_TO_LIE,21,0,0,0,0,0,0
4,LIE_TO_SIT,20,0,0,0,0,0,0
5,STAND_TO_LIE,30,0,0,0,0,0,0
6,LIE_TO_STAND,22,0,0,0,0,0,0
0,ACTIVITIES,2088,0,0,0,0,0,0
1,STAND_TO_SIT,2,11,0,0,0,0,0
2,SIT_TO_STAND,3,0,5,0,0,0,0
3,SIT_TO_LIE,2,0,0,13,0,4,0
4,LIE_TO_SIT,2,0,0,0,18,0,1
5,STAND_TO_LIE,2,0,0,6,0,15,0
6,LIE_TO_STAND,1,0,0,0,0,0,20
0,ACTIVITIES,2125,2,0,0,0,0,0
1,STAND_TO_SIT,0,14,0,0,0,2,0
2,SIT_TO_STAND,2,0,5,0,0,0,1
3,SIT_TO_LIE,0,0,0,15,0,7,0
4,LIE_TO_SIT,0,0,0,0,15,0,0
5,STAND_TO_LIE,1,0,0,0,0,27,0
6,LIE_TO_STAND,0,0,0,0,0,0,14
0,ACTIVITIES,2206,0,0,0,2,0,0
1,STAND_TO_SIT,4,9,0,0,0,0,0
2,SIT_TO_STAND,2,0,3,0,0,0,0
3,SIT_TO_LIE,0,0,0,18,0,5,0
4,LIE_TO_SIT,0,0,0,0,15,0,0
5,STAND_TO_LIE,3,0,0,5,0,19,0
6,LIE_TO_STAND,1,0,0,0,0,0,13
0,ACTIVITIES,2098,0,3,0,3,1,0
1,STAND_TO_SIT,4,7,0,0,0,0,0
2,SIT_TO_STAND,1,0,3,0,0,0,1
3,SIT_TO_LIE,0,0,0,10,0,6,0
4,LIE_TO_SIT,0,0,0,0,14,0,2
5,STAND_TO_LIE,0,0,0,0,0,25,0
6,LIE_TO_STAND,2,0,0,0,0,0,15
0,ACTIVITIES,2180,0,0,0,0,1,0
1,STAND_TO_SIT,3,12,0,0,0,0,0
2,SIT_TO_STAND,3,0,6,0,0,0,0
3,SIT_TO_LIE,2,0,2,13,0,4,0
4,LIE_TO_SIT,1,0,0,0,18,0,1
5,STAND_TO_LIE,3,4,0,0,0,23,0
6,LIE_TO_STAND,10,0,0,0,0,0,12
