0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
3,Error Rate,0.8218818380743982,0.1846827133479212,0.12472647702407003,0.15142231947483586,0.21094091903719914,0.187746170678337,0.0481400437636762
4,Precision,1.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.15503875968992248
5,Recall,0.1329639889196676,0.0,0.0,0.041666666666666664,0.0,0.0,0.9523809523809523
6,Specificity,1.0,0.8210665491405905,0.8787346221441125,0.8571428571428571,0.7953242170269078,0.8234250221827861,0.9518551236749117
7,F1,0.23471882640586797,0.0,0.0,0.005747126436781609,0.0,0.0,0.26666666666666666
8,TP,288.0,0.0,0.0,1.0,0.0,0.0,20.0
9,FP,0.0,406.0,276.0,323.0,464.0,398.0,109.0
10,FN,1878.0,16.0,9.0,23.0,18.0,31.0,1.0
11,TN,119.0,1863.0,2000.0,1938.0,1803.0,1856.0,2155.0
12,Micro F1,0.17811816192560173,0.8153172866520789,0.8752735229759299,0.8485776805251641,0.7890590809628008,0.812253829321663,0.9518599562363238
13,Macro F1,0.17359759845813247,0.44913211186113783,0.4667444574095682,0.4618977223846627,0.44104696673189825,0.4482009176527409,0.6208898944193062
14,Weighted F1,0.22835258909665085,0.8919744085889906,0.9298121532290392,0.9084661613935948,0.8751452722811495,0.884240585023438,0.9686022357099715
15,Log-Loss,28.38679302828983,6.378857013220555,4.307996482030758,5.230054661973327,7.285803604181426,6.4846622814852966,1.6627363499168788
16,ROC AUC,0.5664819944598338,0.4105332745702953,0.43936731107205623,0.449404761904762,0.3976621085134539,0.41171251109139306,0.952118038027932
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5823302840635532,0.505512172714745,0.4310581768208887,0.41316397228637414,0.4152073732718894,0.4072188801480796,0.9772518382352942
2,Accuracy,0.20812414422638065,0.8635326335006847,0.8589685075308079,0.8165221360109539,0.8224554997717937,0.8032861706983113,0.9548151528982199
3,Error Rate,0.7918758557736194,0.13646736649931535,0.1410314924691921,0.18347786398904609,0.17754450022820634,0.19671382930168868,0.04518484710178006
4,Precision,1.0,0.006920415224913495,0.0,0.0,0.0,0.0,0.13157894736842105
5,Recall,0.16466056812710642,0.14285714285714285,0.0,0.0,0.0,0.0,1.0
6,Specificity,1.0,0.8681672025723473,0.8621163536417774,0.8263279445727483,0.8304147465437788,0.8144377602961592,0.9545036764705882
7,F1,0.2827614716825134,0.013201320132013201,0.0,0.0,0.0,0.0,0.23255813953488372
8,TP,342.0,2.0,0.0,0.0,0.0,0.0,15.0
9,FP,0.0,287.0,301.0,376.0,368.0,401.0,99.0
10,FN,1735.0,12.0,8.0,26.0,21.0,30.0,0.0
11,TN,114.0,1890.0,1882.0,1789.0,1802.0,1760.0,2077.0
12,Micro F1,0.20812414422638065,0.8635326335006847,0.8589685075308079,0.8165221360109539,0.8224554997717937,0.8032861706983113,0.9548151528982199
13,Macro F1,0.19945511179642736,0.4699495200807161,0.462067272280874,0.4494974874371859,0.451289757074881,0.4454568463680081,0.6046402265979145
14,Weighted F1,0.27409243925256016,0.9208606823303941,0.9207602513821525,0.8883268464641785,0.8939285922889016,0.8787149657702104,0.9716276251114743
15,Log-Loss,27.35042311509358,4.713520596321662,4.871165031882196,6.337238137557211,6.1323040937811815,6.794401307519861,1.560665460174235
16,ROC AUC,0.5823302840635532,0.505512172714745,0.4310581768208887,0.41316397228637414,0.4152073732718894,0.4072188801480796,0.977251838235294
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5723091512565197,0.4572661217075386,0.43735866123925826,0.4083865086599818,0.41700773078672126,0.41785298035298035,0.9789019963702359
2,Accuracy,0.18628777627424448,0.8425800631483987,0.8723500225529995,0.80829950383401,0.8272440234551195,0.7938655841226884,0.9580514208389715
3,Error Rate,0.8137122237257555,0.15741993685160127,0.12764997744700046,0.19170049616599005,0.1727559765448805,0.20613441587731163,0.041948579161028454
4,Precision,1.0,0.002976190476190476,0.0,0.0,0.0,0.002347417840375587,0.12264150943396226
5,Recall,0.14461830251303937,0.06666666666666667,0.0,0.0,0.0,0.030303030303030304,1.0
6,Specificity,1.0,0.8478655767484106,0.8747173224785165,0.8167730173199635,0.8340154615734425,0.8054029304029304,0.9578039927404719
7,F1,0.2526926263463132,0.005698005698005697,0.0,0.0,0.0,0.004357298474945534,0.21848739495798317
8,TP,305.0,1.0,0.0,0.0,0.0,1.0,13.0
9,FP,0.0,335.0,277.0,402.0,365.0,425.0,93.0
10,FN,1804.0,14.0,6.0,23.0,18.0,32.0,0.0
11,TN,108.0,1867.0,1934.0,1792.0,1834.0,1759.0,2111.0
12,Micro F1,0.18628777627424445,0.8425800631483987,0.8723500225529995,0.80829950383401,0.8272440234551196,0.7938655841226884,0.9580514208389715
13,Macro F1,0.17981165970781005,0.46011082014021026,0.4659118284750663,0.44699426290845595,0.4527277215502345,0.444694372507913,0.5984673359494436
14,Weighted F1,0.24559190970494343,0.9083746113829262,0.9293018067283461,0.884713949319939,0.8981039780685302,0.8719226297225784,0.9739910394732549
15,Log-Loss,28.104624545069406,5.43721282226565,4.408973932452814,6.621245559767244,5.966911688007584,7.119783780506097,1.4488861377030688
16,ROC AUC,0.5723091512565197,0.4572661217075386,0.43735866123925826,0.4083865086599818,0.41700773078672126,0.41785298035298035,0.978901996370236
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5687106194134517,0.42780872794800373,0.43853974121996303,0.41872380065207265,0.40208816705336425,0.4026095060577819,0.9812152133580705
2,Accuracy,0.1839557399723375,0.8497003227293684,0.8750576302443522,0.8289534347625634,0.7989857076994007,0.7966804979253111,0.9626556016597511
3,Error Rate,0.8160442600276625,0.15029967727063165,0.12494236975564776,0.17104656523743655,0.2010142923005993,0.20331950207468885,0.03734439834024894
4,Precision,0.9967637540453075,0.0,0.0,0.0,0.0,0.0,0.13829787234042554
5,Recall,0.14829080404429465,0.0,0.0,0.0,0.0,0.0,1.0
6,Specificity,0.9891304347826086,0.8556174558960075,0.8770794824399261,0.8374476013041453,0.8041763341067285,0.8052190121155638,0.962430426716141
7,F1,0.2581726739312657,0.0,0.0,0.0,0.0,0.0,0.24299065420560748
8,TP,308.0,0.0,0.0,0.0,0.0,0.0,13.0
9,FP,1.0,311.0,266.0,349.0,422.0,418.0,81.0
10,FN,1769.0,15.0,5.0,22.0,14.0,23.0,0.0
11,TN,91.0,1843.0,1898.0,1798.0,1733.0,1728.0,2075.0
12,Micro F1,0.1839557399723375,0.8497003227293684,0.8750576302443522,0.8289534347625636,0.7989857076994007,0.7966804979253111,0.9626556016597511
13,Macro F1,0.17570518942464924,0.45937188434695914,0.4666830587656749,0.45323922359465596,0.4441312147616607,0.4434180138568129,0.6119231219503575
14,Weighted F1,0.2511768154023503,0.9123900773474873,0.9312145128344126,0.8972841060928782,0.8825290620667393,0.8774320495497654,0.976433162695862
15,Log-Loss,28.185170594093748,5.191281594993856,4.315454631598539,5.907867727992164,6.942943263391702,7.022560913730491,1.2898596843612786
16,ROC AUC,0.5687106194134517,0.42780872794800373,0.43853974121996303,0.41872380065207265,0.40208816705336425,0.4026095060577819,0.9812152133580705
